thread_count,chunk_size,average_time
4,214412,0.04485
4,222988,0.0468415
5,1,0.032985
5,8576,0.0200654
5,17153,0.0194184
5,25729,0.0184182
5,34306,0.0228132
5,42882,0.0207841
5,51459,0.016734
5,60035,0.0158339
5,68612,0.0175002
5,77188,0.0195001
5,85765,0.0206848
5,94341,0.0222233
5,102918,0.0239113
5,111494,0.0257808
5,120070,0.0273865
5,128647,0.0292134
5,137223,0.0305345
5,145800,0.0320777
5,154376,0.0339764
5,162953,0.035758
5,171529,0.0362711
5,180106,0.0387759
5,188682,0.0402228
5,197259,0.041736
5,205835,0.0431207
5,214412,0.0444307
5,222988,0.0464197
6,1,0.0288779
6,8576,0.018559
6,17153,0.0193617
6,25729,0.0186798
6,34306,0.0196626
6,42882,0.0200431
6,51459,0.0169406
6,60035,0.0158742
6,68612,0.0170707
6,77188,0.019665
6,85765,0.0207383
6,94341,0.0225207
6,102918,0.0240063
6,111494,0.0259485
6,120070,0.0274179
6,128647,0.0291411
6,137223,0.0304829
6,145800,0.0320069
6,154376,0.0337207
6,162953,0.0350692
6,171529,0.0369077
6,180106,0.0383948
6,188682,0.0404981
6,197259,0.0416668
6,205835,0.043109
6,214412,0.0453741
6,222988,0.0469649
7,1,0.0255179
7,8576,0.0176323
7,17153,0.0168314
7,25729,0.0184353
7,34306,0.0170266
7,42882,0.0198445
7,51459,0.0166714
7,60035,0.0158083
7,68612,0.0176734
7,77188,0.0192303
7,85765,0.0212076
7,94341,0.0225161
7,102918,0.024213
7,111494,0.0250912
7,120070,0.0274989
7,128647,0.0292172
7,137223,0.0303851
7,145800,0.0316251
7,154376,0.0340383
7,162953,0.03565
7,171529,0.036721
7,180106,0.0384599
7,188682,0.0397643
7,197259,0.0422452
7,205835,0.0429575
7,214412,0.0449727
7,222988,0.0465472
8,1,0.0228449
8,8576,0.0170651
8,17153,0.0174967
8,25729,0.0177193
8,34306,0.0174087
8,42882,0.0199507
8,51459,0.017209
8,60035,0.0154598
8,68612,0.0170413
8,77188,0.0188313
8,85765,0.0207867
8,94341,0.022189
8,102918,0.0238285
8,111494,0.0251393
8,120070,0.0268531
8,128647,0.0287798
8,137223,0.0304489
8,145800,0.0320457
8,154376,0.0332321
8,162953,0.0351718
8,171529,0.0368978
8,180106,0.0381487
8,188682,0.0400838
8,197259,0.0414078
8,205835,0.0430894
8,214412,0.0450135
8,222988,0.0466762
9,1,0.0288168
9,8576,0.0176919
9,17153,0.0172665
9,25729,0.0164944
9,34306,0.0174801
9,42882,0.020036
9,51459,0.0173598
9,60035,0.0159013
9,68612,0.0173985
9,77188,0.0189226
9,85765,0.0208477
9,94341,0.0223621
9,102918,0.0240555
9,111494,0.0258251
9,120070,0.0275308
9,128647,0.0287183
9,137223,0.0308336
9,145800,0.0322639
9,154376,0.033374
9,162953,0.0350976
9,171529,0.0367461
9,180106,0.0387136
9,188682,0.0399857
9,197259,0.0414258
9,205835,0.0435085
9,214412,0.0452136
9,222988,0.0470833
10,1,0.0269757
10,8576,0.0168706
10,17153,0.0177147
10,25729,0.0172476
10,34306,0.0172963
10,42882,0.0202784
10,51459,0.0176854
10,60035,0.0161111
10,68612,0.0173594
10,77188,0.0191616
10,85765,0.0206903
10,94341,0.0224946
10,102918,0.0243077
10,111494,0.0253774
10,120070,0.0275621
10,128647,0.0291079
10,137223,0.0303594
10,145800,0.0322148
10,154376,0.0340966
10,162953,0.0349645
10,171529,0.0368104
10,180106,0.0382265
10,188682,0.0400702
10,197259,0.0418346
10,205835,0.0435041
10,214412,0.0452076
10,222988,0.0468929
11,1,0.0251303
11,8576,0.0169139
11,17153,0.0179855
11,25729,0.0173586
11,34306,0.0175887
11,42882,0.0203717
11,51459,0.0171886
11,60035,0.0164124
11,68612,0.0176199
11,77188,0.019592
11,85765,0.0213564
11,94341,0.0226062
11,102918,0.0242603
11,111494,0.0260763
11,120070,0.0274976
11,128647,0.0294505
11,137223,0.0306752
11,145800,0.0315716
11,154376,0.0336823
11,162953,0.0355887
11,171529,0.0371072
11,180106,0.0387004
11,188682,0.0401292
11,197259,0.0419345
11,205835,0.0433677
11,214412,0.0446493
11,222988,0.0473014
12,1,0.024186
12,8576,0.0175046
12,17153,0.0179064
12,25729,0.0174841
12,34306,0.0177195
12,42882,0.0205698
12,51459,0.0174225
12,60035,0.016459
12,68612,0.0179791
12,77188,0.0198051
12,85765,0.021055
12,94341,0.0226652
12,102918,0.0238618
12,111494,0.0256163
12,120070,0.0274693
12,128647,0.0293919
12,137223,0.0306531
12,145800,0.0323305
12,154376,0.034293
12,162953,0.0352129
12,171529,0.0369031
12,180106,0.0384211
12,188682,0.0403909
12,197259,0.0416533
12,205835,0.0440152
12,214412,0.0449666
12,222988,0.0470819
13,1,0.0284003
13,8576,0.0173321
13,17153,0.0174255
13,25729,0.017588
13,34306,0.0177358
13,42882,0.0209042
13,51459,0.0178702
13,60035,0.0167902
13,68612,0.0177649
13,77188,0.0194062
13,85765,0.0214079
13,94341,0.0224337
13,102918,0.0245668
13,111494,0.0261629
13,120070,0.0413476
13,128647,0.0297245
13,137223,0.031223
13,145800,0.0324569
13,154376,0.0345136
13,162953,0.0357993
13,171529,0.0373455
13,180106,0.0387251
13,188682,0.0400558
13,197259,0.0423298
13,205835,0.0434168
13,214412,0.045409
13,222988,0.0475852
14,1,0.0269917
14,8576,0.0162567
14,17153,0.0169199
14,25729,0.0177564
14,34306,0.0177971
14,42882,0.0211562
14,51459,0.0176716
14,60035,0.0159516
14,68612,0.0180995
14,77188,0.0197633
14,85765,0.0214073
14,94341,0.0227225
14,102918,0.0245768
14,111494,0.0259797
14,120070,0.0280906
14,128647,0.0294203
14,137223,0.0307622
14,145800,0.0328022
14,154376,0.0339655
14,162953,0.0357638
14,171529,0.0374017
14,180106,0.0386336
14,188682,0.0404445
14,197259,0.0426157
14,205835,0.0434285
14,214412,0.0452733
14,222988,0.0479682
15,1,0.0261373
15,8576,0.016738
15,17153,0.0179845
15,25729,0.0184555
15,34306,0.017663
15,42882,0.0209177
15,51459,0.0179519
15,60035,0.0159942
15,68612,0.0183054
15,77188,0.0196361
15,85765,0.0210348
15,94341,0.0230313
15,102918,0.0248831
15,111494,0.0256427
15,120070,0.0283875
15,128647,0.0293216
15,137223,0.031024
15,145800,0.0325951
15,154376,0.0343743
15,162953,0.0355353
15,171529,0.0378438
15,180106,0.0392098
15,188682,0.0406204
15,197259,0.0427313
15,205835,0.0443601
15,214412,0.0456198
15,222988,0.0474992
16,1,0.0253497
16,8576,0.0166783
16,17153,0.0178531
16,25729,0.0174723
16,34306,0.0180313
16,42882,0.0210946
16,51459,0.0179802
16,60035,0.0161649
16,68612,0.0181323
16,77188,0.0200755
16,85765,0.0215086
16,94341,0.0228901
16,102918,0.0250352
16,111494,0.0257294
16,120070,0.0281452
16,128647,0.0294937
16,137223,0.0304777
16,145800,0.033226
16,154376,0.0343549
16,162953,0.0363322
16,171529,0.0374062
16,180106,0.0393155
16,188682,0.0401083
16,197259,0.0420398
16,205835,0.0437902
16,214412,0.0454453
16,222988,0.0474425
